"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
110,-0.54595278760152,0.0911337268806208,0.338201168814213,0.0885686665601843,0.0412327777460406,0.119979268085315," "
112,-0.188857185480024,0.114141733208827,0.451536233845405,0.108253199302409,0.0227175444126657,0.0138391514960895,"*"
114,-0.562957697526801,0.125413672939119,0.516928284890668,0.114072983564645,0.0159270442121059,0.00281938631663115,"**"
116,-0.334209208233131,0.136915168113683,0.63288744032132,0.111163553322175,0.0193294788374686,0.00661262304132115,"**"
118,-0.767692814025179,0.124330164247936,0.497666711270425,0.1162506865005,0.0133416620174654,0.00155155052531808,"**"
120,-0.802433192045547,0.130670178807265,0.583630624384727,0.109801861900309,0.0209674380771371,0.00982982089787399,"**"
122,-0.497719945193506,0.11585760465149,0.469681246756863,0.107172659843939,0.0242472589250202,0.0197322965528473,"*"
124,-0.517534149418624,0.10134498513154,0.318782355685332,0.120007416970537,0.00834562714742464,0.000226360669049686,"***"
126,-0.147049086041059,0.0907342653126193,0.283739537541021,0.108880148489907,0.0226341113598607,0.0169058939463981,"*"
128,-0.336568401125489,0.122829294158371,0.560698893235052,0.100115956505311,0.0324465362548982,0.0593928214459036,"."
130,0.122220399239668,0.0817011574921772,0.273005206554703,0.0879897028183292,0.0431999959823354,0.139053394615398," "
132,-0.322402393746837,0.113329914556012,0.454145612287874,0.105975679830543,0.0277136593999364,0.0485433731139975,"*"
134,0.168522607334044,0.0677208278870334,0.287396354839743,0.0173159500758505,0.0770241104340789,0.826677149339109," "
136,-0.426091012677855,0.104541327865012,0.444211385538389,0.0888129497653609,0.055933822514854,0.270724280659914," "
138,0.116213428130483,0.0994982983324604,0.368272350101402,0.100001427568157,0.0313591396812533,0.0481027773153654,"*"
140,-0.372477623067561,0.0711915952756781,0.288391060662155,0.0360338230961812,0.0705064207072572,0.628463458201689," "
142,-0.0190699514801762,0.0782401659708128,0.229614012400658,0.0989958066343329,0.0341490944008917,0.072146385361365,"."
144,-0.28090342703291,0.0819183059979625,0.369434202039714,0.0420381079545587,0.0717862107785584,0.583152289678299," "
146,0.177626285216783,0.0973809774753682,0.321644314693166,0.110656507380312,0.0230219590437778,0.0539669992470394,"."
148,-0.471083413187944,0.0762381631136146,0.310244936759091,0.0474750006681024,0.0683931517125755,0.522570068636612," "
150,-0.16991186709421,0.102623010200067,0.348501177469423,0.113339706992044,0.0184069827138096,0.0211403208929611,"*"
152,-0.759552129942713,0.10152167406795,0.409620665694365,0.0917424157211241,0.038622241078232,0.0969853435088243,"."
154,-0.454556042200866,0.113265549826823,0.404274333027878,0.118466466121002,0.0105798721087016,0.001068662323776,"**"
156,-1.05093619583719,0.0943860871839468,0.299064200656261,0.111786436395961,0.0187801872398603,0.00649921143954402,"**"
158,-0.420170833615171,0.0952344096445202,0.278335016694532,0.121140224737749,0.00675152757654564,9.0694022058857e-05,"***"
160,-0.358851193202038,0.0761362585990304,0.254188539326291,0.078408007463959,0.0488529874138235,0.20406724777664," "
