"CAC-L","CMF-L","CCM-L","CNU-L","ETL-L","FPL-L","FSF-L","IPL-L","ITL-L","ISL-L","IMC-L","LOL-L","LOF-L","LGL-L","MOF-L","MTL-L","PHL-L","PCL-L","PPS-L","POS-L","PTS-L","PCR-L","PTC-L","PCC-L","PRC-L","PCN-L","RAC-L","RMF-L","SFL-L","SPL-L","STL-L","SML-L","TPP-L","TTL-L","CAC-R","CMF-R","CCM-R","CNU-R","ETL-R","FPL-R","FSF-R","IPL-R","ITL-R","ISL-R","IMC-R","LOL-R","LOF-R","LGL-R","MOF-R","MTL-R","PHL-R","PCL-R","PPS-R","POS-R","PTS-R","PCR-R","PTC-R","PCC-R","PRC-R","PCN-R","RAC-R","RMF-R","SFL-R","SPL-R","STL-R","SML-R","TPP-R","TTL-R"
669.75,700.54,583.13,634.98,307.44,509.53,447.28,719.38,419.02,601.64,435.1,692.96,549.88,467.85,489.6,536.41,505.2,372.95,703.4,825.5,768.75,624.66,552.25,482.54,596.36,592.49,733.07,945.86,877.36,727.02,600.96,634.33,341.75,581.15,721.52,662.39,688.67,615.77,332.7,563.31,398.18,689.32,439.6,615.48,426.11,594.5,572.67,428.12,551.01,593.79,478.24,369.45,716.54,866.15,860.91,587.21,571.54,474.41,605.87,548.92,800.6,886.69,844.86,675.76,664.38,625.15,424.65,607.34
671.15,700.42,583.77,637.03,308.02,511.81,447.73,719.78,419.79,603.03,433.73,693.15,552.24,468.26,489.49,535.32,505.58,373.32,704.65,827.9,768.63,625.3,552.48,481.83,597.89,592.67,733.48,949.97,878.57,727.56,601.34,635.79,336.46,582.78,722.33,663.98,704.91,616.75,323.16,561.4,399.45,691.42,440.41,617.47,425.93,596.42,574.12,428.37,548.91,594.56,477.84,371.32,718.7,871.41,862.08,588.79,573.22,474.96,607.43,549.92,807.13,889.78,848.08,676.51,664.97,626.75,424.59,615.98
668.65,699.66,575.23,634.8,304.37,505.3,446.23,718.54,419.1,601.15,433.52,690.73,550.6,466.98,486.82,536.35,505.23,369.74,702.31,823.25,767.84,623.19,552.17,481.32,596.94,591.52,732.86,947.63,874.75,727.34,599.56,634.42,332.34,579.32,719.36,663.47,696.15,613.53,326.92,563.82,397.71,691.11,440.37,612.38,424.36,594.03,573.66,427.9,546.74,593.89,478.54,367.02,718.41,867.25,858.53,587.22,571.54,472.79,606.93,548.77,797.35,886.77,844.24,675.64,664.48,625.39,419.32,605.86
669.7,698.96,576.14,633.92,309.18,510.37,447.16,718.75,419.01,603.18,434.23,693.1,551.11,467.62,484.34,535.96,505.37,374.45,702.75,824.38,769.3,623.23,552.23,482.08,597.24,590.29,731.21,947.14,874.7,726.6,601.68,634.53,337.86,586.99,720.5,661.65,706.68,612.06,329.67,563.81,398.94,689.9,440.94,617.11,423.47,595.85,573.81,428,546.32,595.09,478.19,369.8,718.33,870.94,862.39,587.41,571.63,474.09,606.9,548.01,803.3,889.34,844.46,674.79,664.96,625.26,425.07,615.59
671.43,701.13,570.39,634.34,305.43,508.62,446.7,720.34,419.99,600.06,432.86,690.43,547.88,466.65,484.49,537.12,504.86,369.71,703.65,822.19,769.73,621.73,551.83,482.92,596.97,591.08,730.65,947.67,875.72,725.92,598.07,634.68,327.32,578.55,721.01,662.35,692.92,613.38,321.11,565.66,396.64,692.05,439.13,613.47,423.75,593.75,571.52,427.61,543.49,593.58,478.09,366.66,717.21,866.52,859.71,586.41,571.39,473.33,606.62,548.78,799.26,888.05,844.11,674.63,662.47,625.13,420.41,608.9
669.07,702.51,579.45,635.29,307.2,515.62,447,721.39,417.65,602.13,433.77,692.48,550.29,467.52,486.45,535.48,505.21,372.06,704.38,827.77,771.54,624.82,552.59,480.74,597.44,591.44,729.63,948.83,877.13,725.84,600.37,634.35,338.41,583.48,718.42,663.54,699.73,614.62,326.73,566.29,399.96,691,441.75,616.1,424.06,595.51,574.15,428.35,546.02,596.17,477.77,369.78,717.22,876.16,861.73,587.64,572.36,471.22,606.44,548.73,800.37,888.35,845.59,674.76,664.81,623.93,426.87,609.33
668.85,703.04,571.6,634.09,305.88,512.5,446.49,723.03,418.27,599.61,434.42,691.5,547.22,467.54,485.23,536.51,505.78,370.35,705.54,824.33,772.97,623.27,552.1,482.68,596.98,592.74,731.75,949.45,877.71,725.69,597.84,635.28,329.38,582.41,717.53,662.27,728.02,615.48,322.29,570.79,398.78,691.84,439.99,613.44,424.76,594.67,572.37,428.69,544.49,594.31,476.9,370.65,715.07,868.24,858.53,589.28,572.49,474.09,606.85,549.82,803.92,885.43,844.11,674.59,661.8,623.84,416.01,609.29
667.88,703.32,575.92,633.89,304.54,516.51,446.95,721.59,419.09,600.9,434.76,690.38,549.16,466.65,485.89,536.2,505.37,373.38,703.43,826.74,771.38,622.33,551.89,480.15,596.91,591.67,729.87,947.29,877.93,726.56,598.9,635.06,339.45,580.27,715.67,663.37,678.15,612.87,326.1,569.01,397.89,689.9,439.4,614.01,423.81,593.7,571.6,427.79,544.38,595.33,477.19,367.5,716.2,870.28,858.82,586.51,572.42,471.2,606.31,547.78,800.25,883.47,843.83,673.95,662.94,622.95,425.79,602.68
667.17,702.7,579.04,633.65,303.66,513.95,446.35,722.48,420.21,599.85,433.09,690.46,547.79,467.45,483.98,536.05,505.22,370.26,706.31,826.77,772.31,623.92,551.94,482.59,597.16,591.87,729.57,948.23,877,727.04,597.32,635.58,331.58,585.09,717.07,662.09,691.11,614.43,320.76,572.3,398.57,691.77,439.94,613.65,423.85,593.48,571.5,428.06,543.39,594.59,476.54,370.11,717.72,868.11,859.96,587.86,572.17,471.78,606.82,548.94,803.91,883.33,842.31,673.12,662.54,623.75,417.54,612.66
670.39,703.2,563.4,634.53,303.3,516.55,446.02,721.07,419.9,600.56,434.11,689.89,547.48,466.47,484,534.6,505.85,370.98,705.14,830.13,772.14,623.57,553.35,481.11,598.3,592.49,730.1,948.95,877.02,727.43,596.74,635.52,338.72,581.02,716.47,662.82,727.89,612.88,329.13,568.63,399.39,689.42,439.45,614.72,423.34,592.65,571.32,426.99,543.07,594.67,477.38,369.15,716.7,872.46,860.07,587.38,573.1,471.47,606.64,548.59,797.96,884.24,843.87,674.07,663.58,623.32,423.22,606.41
671.25,701.65,575.82,634.42,305.54,514.36,449.19,719.83,420.37,603.97,432.75,694.9,548.68,468.23,483.49,536.61,505.41,372.48,706.94,828.92,772.41,624.92,553.77,482.06,598.85,590.95,732.31,948.83,878.13,728.79,602.75,636.78,333.42,587.13,721.76,663.3,694.55,615.3,324.65,569.47,399.96,691.13,440.34,616.3,424.02,596.43,573.94,429.54,543.38,596.76,477.93,370.89,719.14,873.33,862.99,589.91,574.34,473.32,608.08,549.27,806.14,886.27,845.79,674.8,667.3,626.13,422.16,614.05
670.35,700.91,590.06,635.51,301.85,516.06,446.39,717.6,420.98,601.48,433.27,691.89,547.96,465.91,481.63,536.33,506.55,370.44,705.31,824.6,769.72,623,554.36,482.38,599.19,591.43,729.67,948.37,876,729.83,600.76,637,336.71,580.28,721.87,664.07,709.01,615.04,323.97,572,398.6,689.68,440.36,614.01,424,594.41,571.71,428.36,542.58,594.58,478.07,368.33,719,872.74,862.46,587.41,574,474.52,608.79,549.22,799.01,887.01,844.83,676.34,665.73,626.64,420.64,605.43
668.95,700.91,577.56,634.42,303.59,511.86,447.74,717.45,420.12,604.97,432.29,694.02,549.51,468.29,483.52,534.05,505.33,372.22,704.93,826.76,770.8,624.38,553.73,481.68,598.64,590.06,729.21,947.82,876.37,729.57,601.47,636.75,334.75,587.65,718.91,665.28,688.3,614.71,327.87,563.84,400.36,690.37,442.16,618.47,423.79,597.03,574.66,429.25,543.13,596.12,477.06,368.34,718.3,875.52,864.69,588.55,574.04,474.25,608.63,548.21,801.99,889.58,846.35,676.56,666.35,628.89,423.14,615.64
671.45,701.28,591.92,634.47,303.06,511.26,446.29,716.86,419.16,600.7,431.87,691,546.21,465.97,480.81,534.37,506.24,368.5,706.29,822.4,770.81,622.18,554.16,483.06,598.58,590.26,728.92,948.72,876.99,727.02,598.1,636.35,329.92,581.21,719.8,664.16,699.38,612.48,322.97,568.82,398.22,690.66,440.13,613.65,424.05,594.46,571.08,427.43,541.57,594.75,477.44,369.16,718.92,870.85,863.13,587.93,573.03,473.99,608.35,548.48,799.96,888.62,846.23,675.51,664.28,627.51,415.74,606.09
670.75,702.43,573.83,633.35,306.68,514.49,447.64,717.4,418.65,604.67,431.57,693.66,548.16,467.53,481.08,535.32,505.61,373.8,704.28,827.31,770.62,623.81,553.55,480.88,598.32,588.99,728.84,946.11,876.79,726.8,601.7,635.63,335.07,585.85,718.8,665.31,697.12,613.45,327.52,565.31,399.97,690.6,441.66,617.41,423.3,596.19,571.95,428.34,541.98,596,477.77,368.94,718.94,875.14,863.87,587.13,573,472.84,607.33,547.3,800.67,888.13,846.42,675.43,666.56,625.41,420.43,610.75
673.31,702.54,583.22,635.54,301.62,511.16,447.29,718.23,419.3,601.41,432.66,692.09,545.79,466.71,481.02,534.52,505.23,368.12,706.8,825.5,772.19,622.7,553.65,482.43,598.63,589.5,730,949,878.12,726.29,598.4,635.86,325.21,582.15,719.57,664.59,717.67,614.94,321.03,570.54,399.88,690.5,440.75,615.04,423.32,595.26,571.24,427.73,540.55,595.19,476.69,368.78,719.35,870.92,862.62,586.98,573.66,474.21,609.2,547.7,800.93,887.86,847.14,675.36,665.83,627.44,416.54,607.9
669.99,701.84,585.11,635.37,306.27,516.43,447.49,718.57,418.54,602.94,433.6,692.06,547.4,466.83,482.4,535.51,504.47,373.23,703.03,826.19,770.24,624.13,552.94,481.44,597.13,590.09,729.58,945.83,878,725.64,601.55,634.77,336.33,584.81,720.87,662.49,704.29,613.91,327.65,565.8,400.51,689.38,440.55,615.84,423.18,594.49,572.32,427.89,541.66,595.76,477.28,369.31,718.01,872.45,860.93,587.08,572.51,472.53,607.12,547.66,802.56,886.17,845.39,673.74,666.28,624.4,424.2,606.94
671.98,702.7,583.86,633.99,303.92,515.76,446.41,721.15,418.47,601.69,435.74,691.66,546.41,466.51,483.44,534.11,504.91,368.86,704.58,825.71,771.02,623.14,552.53,483.52,598.14,591.45,731.93,948.76,877.99,725.33,597.36,635.49,327.98,586.19,720.68,663.67,731.89,614.96,319.51,570.8,399.07,692.23,439.72,616.26,424.58,593.71,572.32,427.61,542.36,595.56,475.89,370.14,719.46,872.99,859.91,588.46,571.9,474.9,607.17,549.89,804.24,886.07,845.74,673.57,663.81,624.75,416.89,610.19
670.83,702.08,580.65,634.92,301.6,518.74,446.55,720.57,418.81,600.05,434.58,690.38,547.73,466.52,483.4,534.98,504.89,372.39,703.31,827.87,769.58,623.94,552.25,481.02,597.01,591.34,730.46,946.07,878.19,725.85,597.89,634.85,337.72,581.92,719.7,665.49,689.93,614.33,327.69,567.92,399.99,691.22,440.85,614.18,425.39,593.31,572.76,427.71,543.09,596.23,476.69,369.84,716.94,872.9,861.79,586.92,571.36,471.59,606.24,548.74,801.92,887.01,847.18,673.51,663.86,623.05,419.52,607.19
670.71,701.95,600.03,635.5,304.41,516.18,447.37,722.78,420.27,602.09,434.41,691.61,547.82,467.98,484.75,534.7,505.99,369.8,705.29,827.84,770.87,624.25,551.93,482.6,597.79,592.22,734.14,947.91,878.28,726.3,597.7,635.94,333.28,587.03,719.85,665.05,709.61,617.45,323.37,573.29,400.03,693.96,441.43,616.29,426.14,594.34,573.99,428.79,543.94,595.62,476.42,371.95,719.64,872.4,863.07,589.24,571.56,473.09,607.33,550.68,805.45,886.71,846.62,674.15,664.57,624.52,416.27,612.48
667.14,702.51,572.27,636.33,302.62,518.48,446.13,723.22,419.68,601.03,435.96,690.48,547.6,466.78,484.81,534.44,506.22,371.45,704.65,831.43,770.65,624.21,553.11,481.55,597.89,592.2,730.73,947.38,878.62,727.08,595.92,636.32,334.44,583.06,717.64,666.02,705.09,616.85,330.94,567.91,399.99,692.71,441.27,614.37,425.28,594.66,573.48,428.81,543.57,596.69,478.43,370.01,717.9,875.62,862.65,588.58,572.1,472.09,607.27,549.4,799.41,886.69,847.64,674.49,663.3,624.12,421.47,605.75
671.75,703.94,578.82,636.79,301.65,518.48,448.21,725.89,420.11,603.92,434.46,694.37,549.77,469.4,485.66,537.28,505.69,372.94,706.97,833.46,775.05,627.35,554.12,482.09,599.01,591.53,735.5,950.04,880.89,729.02,602.42,637.52,333,587.69,722.21,667.91,704.55,619.6,320.14,569.13,399.9,694.74,442.47,617.44,425.76,597.92,574.08,431.07,543.82,597.92,477.8,370.69,719.56,876.79,864.6,592.05,573.62,474.01,607.79,549.52,806.29,888.81,849.17,675.43,666.74,626.15,421.32,615.57
