"CAC-L","CMF-L","CCM-L","CNU-L","ETL-L","FPL-L","FSF-L","IPL-L","ITL-L","ISL-L","IMC-L","LOL-L","LOF-L","LGL-L","MOF-L","MTL-L","PHL-L","PCL-L","PPS-L","POS-L","PTS-L","PCR-L","PTC-L","PCC-L","PRC-L","PCN-L","RAC-L","RMF-L","SFL-L","SPL-L","STL-L","SML-L","TPP-L","TTL-L","CAC-R","CMF-R","CCM-R","CNU-R","ETL-R","FPL-R","FSF-R","IPL-R","ITL-R","ISL-R","IMC-R","LOL-R","LOF-R","LGL-R","MOF-R","MTL-R","PHL-R","PCL-R","PPS-R","POS-R","PTS-R","PCR-R","PTC-R","PCC-R","PRC-R","PCN-R","RAC-R","RMF-R","SFL-R","SPL-R","STL-R","SML-R","TPP-R","TTL-R"
0,158,0,8,2,6,35,395,31,191,0,132,182,25,8,22,1,1,300,254,844,5,759,0,234,39,0,1376,433,1032,186,19,17,13,0,0,0,0,0,0,4,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,9,0,0,0,9,2,0,0,0,0
0,0,0,584,19,0,58,6,4,3,69,120,0,708,2,0,0,39,0,0,5,625,0,3,2,173,1,6,5,54,11,0,28,0,0,0,0,67,0,0,6,5,2,0,4,616,0,28,0,6,0,1,0,2,0,72,0,0,0,26,0,0,1,99,0,0,3,0
0,351,0,1,0,2,15,714,14,514,2,65,48,13,37,262,212,0,372,31,759,0,3435,0,5293,251,4,203,776,1732,1303,3260,10,304,0,5,0,1,2,96,8,0,3,0,3,3,0,2,1,0,10,0,4,0,0,0,12,9,53,1,0,34,59,15,1,4,0,0
250,0,0,4,0,0,0,0,0,0,342,0,0,30,1,0,225,1,0,0,0,3,0,593,6,381,2,1,666,7,0,0,5,0,25,0,0,36,0,0,0,0,0,0,396,0,0,13,1,0,34,0,0,0,0,3,2,1294,21,464,1,0,27,2,0,0,0,0
0,3680,0,2,0,1,28,1699,395,657,9,128,7,7,8,1017,367,0,929,5,234,2,5293,6,4150,135,0,68,1470,913,1138,2318,21,46,0,15,0,5,4,0,233,1,216,0,0,3,0,5,0,0,1623,2,2,0,0,2,38,46,690,29,0,8,379,11,0,1,2,0
176,11,0,1177,56,10,85,592,0,1,1118,24,8,494,87,7,442,75,3,3,39,173,251,381,135,2132,93,108,590,1043,72,16,109,0,64,0,0,423,1,21,45,4,7,0,146,24,1,160,25,10,200,1,0,0,2,184,49,315,8,3155,21,47,93,183,0,3,5,1
51,0,37,0,1,4,0,12,0,2,3,9,24,2,246,12,1,0,0,0,0,1,4,2,0,93,167,8,103,167,33,0,143,0,21,0,0,10,0,0,23,0,21,0,0,1,1,8,336,1,0,0,0,4,0,0,1,1,1,66,206,2,198,1,0,0,6,0
0,1246,0,134,3,448,92,70,25,78,3,459,561,176,132,1,11,5,852,387,1376,6,203,1,68,108,8,7177,2215,670,364,3,74,2,0,0,0,5,1,445,83,20,88,5,0,44,8,4,84,31,0,16,1,44,7,2,13,0,8,78,9,392,194,85,5,2,17,0
580,1829,0,15,0,39,14,86,1,183,73,21,18,21,76,8,356,2,1229,44,433,5,776,666,1470,590,103,2215,4041,728,56,5,82,5,94,98,0,66,6,172,5,1,8,1,10,5,0,23,38,0,399,1,6,0,4,7,35,624,983,499,25,126,6955,27,3,5,2,0
0,107,2,282,134,123,649,2898,1068,1062,38,1043,202,42,876,883,206,35,172,43,1032,54,1732,7,913,1043,167,670,728,3147,4264,1036,304,299,1,0,0,52,1,88,58,5,29,0,2,180,3,77,210,1,13,10,0,0,2,42,7,2,12,116,141,147,133,131,0,0,11,0
1,186,1,29,24,47,133,1121,100,923,0,257,1435,48,204,3693,3,9,185,375,186,11,1303,0,1138,72,33,364,56,4264,4414,2356,1584,579,0,0,0,20,1,3,42,0,20,1,0,55,0,19,32,12,0,3,0,0,0,20,3,0,0,7,9,3,9,44,0,0,13,0
0,64,0,0,0,0,0,1658,7,131,0,3,2,0,3,770,0,0,7,0,19,0,3260,0,2318,16,0,3,5,1036,2356,4089,1,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,93,320,11,538,24,304,43,12,197,343,209,236,324,1,92,0,16,17,28,10,5,21,109,143,74,82,304,1584,1,686,0,0,0,0,34,12,11,135,6,78,1,10,101,2,57,264,44,8,19,1,1,0,30,10,0,17,69,220,23,140,113,0,3,57,0
0,3,0,0,0,0,1,48,18,378,0,0,1,0,1,22,0,0,7,0,13,0,304,0,46,0,0,2,5,299,579,276,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,0,0,1,0,0,0,0,0,0,16,0,0,1,9,0,1,0,0,0,0,0,0,25,0,64,21,0,94,1,0,0,0,0,96,0,0,7,0,0,0,0,0,0,32,0,0,3,1,0,1,0,0,0,0,0,0,194,0,493,78,0,383,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,98,0,0,0,0,0,0,1084,0,0,0,0,0,3,8,0,0,1,0,0,0,15,34,1,456,7,150,0,3,0,1745,0,0,2227,2875,14,17,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,871,0,0,3,5,3,14,156,37,1,175,3,0,19,14,0,0,0,67,1,36,5,423,10,5,66,52,20,0,34,0,7,0,0,534,2,0,154,3,18,0,239,294,0,483,1,2,1,114,0,1,0,1209,1,24,0,1184,6,1,50,297,0,0,3,0
0,0,0,0,0,1,1,0,0,0,0,16,0,3,7,0,0,3,0,0,0,0,2,0,4,1,0,1,6,1,1,0,12,0,0,0,0,2,775,0,712,0,155,0,0,118,46,50,14,8,0,189,0,0,0,0,0,0,1,11,4,8,0,4,0,0,284,0
0,0,0,3,0,171,0,0,0,0,0,3,0,0,4,0,14,0,0,0,0,0,96,0,0,21,0,445,172,88,3,0,11,0,0,0,0,0,0,189,28,5,22,0,0,31,47,5,144,13,0,0,0,2,0,0,67,0,2,4,0,219,25,56,13,1,28,0
